1683
(1,860,11.499014955186272)
(860,722,39.248169485071045)
(722,0,21.287015589949082)
(6,7,130.34529965927467)
(7,6,130.34529965927467)
(7,8,23.841536442183777)
(8,7,23.841536442183777)
(8,9,27.62929583759887)
(9,8,27.62929583759887)
(9,10,37.15138620256903)
(10,9,37.15138620256903)
(38,37,49.78997657719581)
(37,15,73.73402526831181)
(15,36,78.80821763026405)
(36,35,59.43669821862575)
(35,34,129.39084651867915)
(34,319,60.17221366332047)
(319,33,25.016410348217207)
(608,609,10.92965382037915)
(609,217,74.96963890942732)
(217,39,12.27807303610412)
(39,446,23.712768427763606)
(446,617,15.947352184379907)
(617,40,20.443760708887897)
(40,41,18.106734462542292)
(41,618,14.065738766393313)
(618,42,53.55088657378026)
(42,43,86.79841336534275)
(43,44,55.99680573046886)
(44,45,58.856531475742926)
(45,16,29.10087699876066)
(16,46,82.8943065844231)
(46,38,54.87487467723082)
(38,851,13.182715773186235)
(851,852,6.58485567583301)
(852,47,6.59306792887982)
(61,62,28.41615419291666)
(62,63,57.036801352487785)
(63,64,133.412210466965)
(64,65,54.06092169320363)
(65,407,37.056959171934814)
(407,45,15.88843040315517)
(0,898,99.11008476090868)
(898,66,2.5587764298667057)
(66,67,105.12430713631642)
(67,46,127.92556874382154)
(46,37,22.054813965059264)
(37,68,76.37780361139853)
(68,570,70.20278579716846)
(570,558,9.921467206389346)
(558,13,63.563937701853966)
(13,70,75.0428619736909)
(70,71,69.09420800254651)
(71,72,122.83173150599968)
(72,73,60.619132801434766)
(73,74,21.104698277941452)
(547,623,39.05248515568894)
(623,547,39.05248515568894)
(623,622,26.0135047963471)
(622,623,26.0135047963471)
(622,621,19.024569749613693)
(621,622,19.024569749613693)
(621,620,23.368748222760782)
(620,621,23.368748222760782)
(620,619,14.501080637338704)
(619,620,14.501080637338704)
(619,74,17.655082320352943)
(74,619,17.655082320352943)
(74,75,20.24717406183627)
(75,74,20.24717406183627)
(75,611,15.072250899302977)
(611,75,15.072250899302977)
(611,443,15.427956656981804)
(443,611,15.427956656981804)
(443,76,25.909291955317652)
(76,443,25.909291955317652)
(76,33,71.99168900367977)
(33,76,71.99168900367977)
(33,61,68.67349207485265)
(61,33,68.67349207485265)
(61,77,68.10672949781474)
(77,61,68.10672949781474)
(77,481,69.40539151271783)
(481,77,69.40539151271783)
(76,93,83.38952454040891)
(93,94,126.95452329337238)
(94,95,64.41518523657474)
(95,14,76.54829190099937)
(14,68,71.20109327507483)
(68,96,36.014692642258716)
(97,98,35.943255487794225)
(98,97,35.943255487794225)
(98,759,46.98440924522364)
(759,98,46.98440924522364)
(759,48,7.680440088581414)
(48,759,7.680440088581414)
(99,100,106.52396621241915)
(100,99,106.52396621241915)
(100,782,9.40681928797266)
(782,445,4.947308047851629)
(445,444,6.80111910858165)
(444,101,27.499899228829257)
(101,72,37.74250490417652)
(72,93,76.12766368572318)
(93,34,71.90670605383333)
(34,63,68.35205039603218)
(63,102,48.9129270368109)
(102,411,3.9097490472368768)
(411,103,42.44823133851863)
(103,421,10.091801399679497)
(421,77,50.63715111172857)
(41,103,52.21224049898467)
(103,62,74.4374959673096)
(62,401,6.79780326853834)
(401,319,62.21526043770409)
(117,116,68.42866460481966)
(116,115,113.61271530006441)
(115,114,97.44196750714842)
(114,113,96.29376880415006)
(113,112,79.65494635602363)
(112,111,72.61378332710325)
(111,110,67.1562410821011)
(110,109,76.10538923771382)
(109,108,66.08656741338292)
(108,107,103.70841163928596)
(107,106,39.25299452882954)
(106,105,101.52280011946311)
(105,43,133.7098495026169)
(43,64,48.53181206718641)
(64,35,68.52862194494537)
(35,94,74.18519004685602)
(94,71,73.71310738013072)
(763,145,54.26206443638137)
(145,763,54.26206443638137)
(146,350,8.877078316856338)
(350,594,25.616472750155882)
(594,147,187.5935024203517)
(147,10,25.20066734454248)
(143,144,40.09754467517698)
(143,167,36.64705557962943)
(167,168,37.326720950647434)
(168,81,49.18046247040025)
(81,169,58.39589264486545)
(169,170,25.047033949287613)
(170,166,54.99651894062223)
(166,108,76.77721335176948)
(108,171,50.67284715892189)
(171,21,79.6992022829244)
(21,613,11.675687776034602)
(613,614,47.97006732134609)
(614,873,72.13566770745707)
(873,867,3.878484448209697)
(867,159,9.78186631447491)
(176,801,5.46276369914027)
(801,758,5.47183600865791)
(758,177,4.2797558369637585)
(177,178,5.156176448122118)
(178,797,5.150926648917892)
(797,179,5.152677176291765)
(179,798,3.938476465486278)
(798,180,3.938476465486278)
(180,181,4.6153429541386375)
(181,799,4.619249296737329)
(799,182,4.609477233123129)
(182,757,6.52431664525451)
(757,183,6.511864327720205)
(183,756,5.554443689803385)
(756,184,5.542253075158591)
(184,185,5.8694270965774855)
(185,186,5.8694270965774855)
(186,754,4.736845494491885)
(754,800,4.7339888178860035)
(800,187,4.73589346041645)
(187,755,5.27206005094047)
(755,188,5.266069557916316)
(188,189,4.86087750459685)
(189,176,5.472660018301713)
(693,3,10.279944691315608)
(3,765,177.15196666073498)
(765,180,283.69233897547974)
(179,767,283.67868515859914)
(767,190,176.69455735947193)
(190,692,10.425853293514733)
(60,191,37.02567355106893)
(191,60,37.02567355106893)
(191,410,21.370734834225157)
(410,191,21.370734834225157)
(410,432,27.938467815026407)
(432,410,27.938467815026407)
(432,192,32.526898513756976)
(192,432,32.526898513756976)
(192,193,53.39842918461641)
(193,192,53.39842918461641)
(193,194,37.03882403505531)
(194,193,37.03882403505531)
(194,195,32.19134808154651)
(195,194,32.19134808154651)
(195,196,49.832885478036)
(196,195,49.832885478036)
(196,197,92.96942664141216)
(197,196,92.96942664141216)
(197,198,44.32358082298598)
(198,197,44.32358082298598)
(198,435,37.120544590874964)
(435,198,37.120544590874964)
(435,199,36.100480441727186)
(199,435,36.100480441727186)
(199,910,60.055496942408446)
(910,199,60.055496942408446)
(910,911,76.58392198742352)
(911,910,76.58392198742352)
(911,200,60.45996199407303)
(200,911,60.45996199407303)
(200,537,12.987670983752773)
(537,200,12.987670983752773)
(537,438,36.16013646426049)
(438,537,36.16013646426049)
(438,201,28.59222385945622)
(201,438,28.59222385945622)
(201,442,45.98821641921267)
(442,201,45.98821641921267)
(442,202,5.098131336692435)
(202,442,5.098131336692435)
(202,203,56.38176455393159)
(203,202,56.38176455393159)
(203,539,20.989650415536968)
(539,203,20.989650415536968)
(539,351,4.807710786761923)
(351,539,4.807710786761923)
(351,204,13.907767815532148)
(204,351,13.907767815532148)
(22,224,78.65082761515497)
(224,109,51.24896143375182)
(109,206,76.38459266817333)
(206,311,55.81056203852228)
(311,251,25.829459848028982)
(251,82,58.44606247188978)
(313,308,42.34719461793411)
(308,279,37.294331656357414)
(279,321,37.10912426772545)
(321,606,3.5252395997856545)
(606,605,36.35489288886981)
(605,83,6.25473342704075)
(83,247,59.50713537984775)
(247,248,25.86574601780675)
(248,207,56.28194618600771)
(207,110,76.2917960031344)
(110,221,50.920159257132156)
(221,23,79.69060203219075)
(23,612,58.186256919921085)
(612,212,15.894105450806643)
(333,335,24.159987531792776)
(335,333,24.159987531792776)
(85,249,60.65363785796051)
(249,250,25.90650720767898)
(250,209,58.692734446628485)
(209,112,75.04346285257067)
(112,223,50.11269740577972)
(223,25,79.4835764625334)
(205,679,17.27712469304619)
(679,252,29.99213771124435)
(49,258,124.41511852796714)
(258,259,79.99697938662521)
(259,213,104.12541084225734)
(213,214,102.65424256704628)
(214,260,71.9638737784546)
(260,172,68.89153513518704)
(172,332,67.63888851412595)
(332,331,76.11747511944691)
(331,339,62.03598356403499)
(339,328,76.9157517175623)
(328,215,78.45151944329008)
(215,216,89.55123357352693)
(20,218,79.65777675465624)
(218,107,50.28884036631143)
(107,118,77.06556853378837)
(118,261,54.09110744251297)
(261,80,82.92073921562101)
(42,122,95.58146530064235)
(122,42,95.58146530064235)
(122,616,26.35243033358522)
(616,122,26.35243033358522)
(616,615,6.760554751089183)
(615,616,6.760554751089183)
(615,219,5.297656867795987)
(219,615,5.297656867795987)
(219,217,97.35219777542034)
(217,219,97.35219777542034)
(233,17,78.61188975678836)
(17,67,74.19740638804713)
(67,431,73.91988489580284)
(70,95,73.30050914678965)
(95,36,73.17084086836566)
(36,65,70.10277133992909)
(65,44,24.65986024888617)
(44,233,54.08218688938422)
(233,121,104.55618727723389)
(121,120,100.7521086407355)
(120,218,36.90356504820662)
(218,171,105.93930500754445)
(171,224,66.6826784854882)
(224,221,75.9565281041643)
(221,232,65.9891975741059)
(232,223,73.43627319732131)
(223,228,79.31808996880739)
(228,234,95.79893677817286)
(234,235,95.49117428687018)
(235,236,109.33687955008563)
(236,237,66.80826865243856)
(238,157,148.54624213955213)
(157,238,148.54624213955213)
(157,165,10.033097676432629)
(165,157,10.033097676432629)
(88,678,5.978277460192555)
(678,89,52.076647869615535)
(89,115,76.87159442513287)
(115,235,52.89598709380936)
(235,28,77.87033993010829)
(28,241,73.53708862519733)
(241,892,59.76482047999162)
(892,887,3.6149161159374956)
(887,164,9.790160328573231)
(118,166,101.64770847414687)
(166,206,65.60466538953533)
(206,207,76.47073177158263)
(207,208,67.2942829837648)
(208,209,72.87790340568715)
(209,210,79.86248754110566)
(210,225,96.36131702509688)
(225,89,100.69337264068665)
(89,90,117.74561904567076)
(90,91,61.74374926737534)
(91,490,8.618311758497823)
(490,240,14.079196660174789)
(240,294,62.30318557539962)
(294,290,19.691924359733935)
(29,236,80.06481642265132)
(236,29,80.06481642265132)
(236,116,53.03433135547095)
(116,236,53.03433135547095)
(116,90,76.26566735906275)
(90,116,76.26566735906275)
(145,902,27.21707063972202)
(902,764,67.47596162775365)
(764,227,8.401057418850275)
(227,768,7.5983949941004765)
(768,266,63.28909192499142)
(266,174,68.64873333253821)
(174,329,67.64182173565678)
(329,338,75.87206362759946)
(338,335,59.66801669500794)
(335,324,80.10884591820282)
(324,390,77.74707561870046)
(390,243,73.04069545197183)
(243,749,4.595761436243342)
(749,748,5.771815986989454)
(163,245,71.10039024648286)
(245,27,75.48943015560072)
(27,234,78.24651729021845)
(234,114,52.13177490935599)
(114,225,76.44867524816395)
(225,262,57.51326703826498)
(262,222,56.400315922149666)
(239,241,164.43546468838764)
(241,245,91.28255680545355)
(245,229,91.50290278772849)
(238,417,8.77592628328139)
(417,238,8.77592628328139)
(417,487,131.40267085789023)
(487,417,131.40267085789023)
(487,244,86.89114668393209)
(244,487,86.89114668393209)
(268,266,69.34019718496526)
(266,268,69.34019718496526)
(266,263,84.2422338966816)
(263,266,84.2422338966816)
(263,260,71.58120029636731)
(260,263,71.58120029636731)
(429,259,73.56553491463778)
(259,264,68.42365631459747)
(264,269,40.640625059715596)
(269,436,14.785001759963164)
(436,270,41.3868105111543)
(270,271,35.62039514690783)
(271,441,8.777467586975611)
(441,271,8.777467586975611)
(441,272,7.974807029871152)
(272,441,7.974807029871152)
(272,686,30.27912744240676)
(686,272,30.27912744240676)
(686,273,14.455297963739769)
(273,686,14.455297963739769)
(273,440,15.147752138537124)
(440,273,15.147752138537124)
(440,274,16.885104613355697)
(274,440,16.885104613355697)
(274,437,25.758484771239573)
(437,274,25.758484771239573)
(437,275,19.89535849496289)
(275,437,19.89535849496289)
(275,265,86.83819801429598)
(265,275,86.83819801429598)
(265,258,67.57839579028783)
(258,265,67.57839579028783)
(258,434,73.82521175530307)
(434,258,73.82521175530307)
(270,276,80.12150976896147)
(276,246,10.666994784462238)
(262,255,99.065123789781)
(255,250,78.78910476955475)
(250,256,72.16479138851489)
(256,248,67.95799717469605)
(248,311,75.92422649069394)
(311,170,65.48131170779574)
(170,261,100.52745538908736)
(261,690,10.946967807789775)
(169,251,65.24482515631306)
