594
(136,74,51.24896143375182)
(74,121,76.38459266817333)
(121,208,55.81056203852228)
(208,160,25.829459848028982)
(160,54,58.44606247188978)
(210,125,585.4930918777769)
(56,158,60.65363785796051)
(158,159,25.90650720767898)
(159,123,58.692734446628485)
(123,76,75.04346285257067)
(76,135,50.11269740577972)
(135,15,79.4835764625334)
(120,329,17.27712469304619)
(329,161,29.99213771124435)
(32,129,1002.7259587355114)
(11,131,79.65777675465624)
(131,73,50.28884036631143)
(73,80,77.06556853378837)
(80,169,54.09110744251297)
(169,53,82.92073921562101)
(27,83,95.58146530064235)
(83,27,95.58146530064235)
(83,301,26.35243033358522)
(301,83,26.35243033358522)
(301,300,6.760554751089183)
(300,301,6.760554751089183)
(300,132,5.297656867795987)
(132,300,5.297656867795987)
(132,130,97.35219777542034)
(130,132,97.35219777542034)
(144,8,78.61188975678836)
(8,41,74.19740638804713)
(41,252,73.91988489580284)
(44,147,1372.239257977341)
(148,101,148.54624213955213)
(101,148,148.54624213955213)
(101,108,10.033097676432629)
(108,101,10.033097676432629)
(57,328,5.978277460192555)
(328,58,52.076647869615535)
(58,78,76.87159442513287)
(78,146,52.89598709380936)
(146,17,77.87033993010829)
(17,151,73.53708862519733)
(151,387,59.76482047999162)
(387,386,3.6149161159374956)
(386,107,9.790160328573231)
(80,189,921.6936433222714)
(94,355,686.2418909927287)
(106,154,71.10039024648286)
(154,16,75.48943015560072)
(16,145,78.24651729021845)
(145,77,52.13177490935599)
(77,137,76.44867524816395)
(137,170,57.51326703826498)
(170,134,56.400315922149666)
(149,151,164.43546468838764)
(151,154,91.28255680545355)
(154,140,91.50290278772849)
(148,248,8.77592628328139)
(248,148,8.77592628328139)
(248,271,131.40267085789023)
(271,248,131.40267085789023)
(271,153,86.89114668393209)
(153,271,86.89114668393209)
(175,173,69.34019718496526)
(173,175,69.34019718496526)
(173,171,84.2422338966816)
(171,173,84.2422338966816)
(171,168,71.58120029636731)
(168,171,71.58120029636731)
(250,167,73.56553491463778)
(167,172,68.42365631459747)
(172,176,40.640625059715596)
(176,255,14.785001759963164)
(255,177,41.3868105111543)
(177,178,35.62039514690783)
(178,254,289.67920454348683)
(254,178,289.67920454348683)
(177,179,80.12150976896147)
(179,155,10.666994784462238)
(170,164,99.065123789781)
(164,159,78.78910476955475)
(159,165,72.16479138851489)
(165,157,67.95799717469605)
(157,208,75.92422649069394)
(208,112,65.48131170779574)
(112,169,100.52745538908736)
(169,337,10.946967807789775)
(111,160,65.24482515631306)
(160,156,75.75822647348593)
(156,166,68.13823704160853)
(166,158,72.81959557709393)
(158,163,78.29825007338043)
(89,343,6.802444992034852)
(343,89,6.802444992034852)
(343,342,5.110499027490798)
(342,343,5.110499027490798)
(342,341,7.3018220364992406)
(341,342,7.3018220364992406)
(341,90,55.073372212914265)
(90,341,55.073372212914265)
(90,239,4.856237047687414)
(239,90,4.856237047687414)
(86,200,56.14445635890436)
(200,86,56.14445635890436)
(200,198,79.1345952825919)
(198,200,79.1345952825919)
(87,188,58.147185965732845)
(196,187,71.00957826477729)
(59,201,133.67460363538282)
(193,59,23.745453168884037)
(180,364,3.0684162958742847)
(364,199,78.31644635426132)
(199,88,60.5213113131182)
(186,351,19.49400129667781)
(351,180,59.065696813391895)
(192,190,60.53256063450958)
(190,192,60.53256063450958)
(190,197,78.6105704636289)
(197,190,78.6105704636289)
(188,196,81.00857039915562)
(199,188,44.10369837852028)
(188,199,44.10369837852028)
(188,200,46.01899409685114)
(200,188,46.01899409685114)
(200,197,21.0242094305677)
(197,200,21.0242094305677)
(85,396,18.156969562460624)
(396,184,31.1181376318033)
(184,220,79.67130467106651)
(191,192,589.7671903178712)
(192,191,589.7671903178712)
(91,181,36.98668170332421)
(219,183,36.79098004424739)
(183,209,37.61337335200604)
(209,84,44.15223591782299)
(153,33,1011.0480898453396)
(91,206,12.766714766927436)
(206,91,12.766714766927436)
(206,332,5.193644720800507)
(332,206,5.193644720800507)
(332,333,4.335237438535859)
(333,332,4.335237438535859)
(333,334,22.17267320489464)
(334,333,22.17267320489464)
(170,57,100.35349073249253)
(57,170,100.35349073249253)
(30,34,431.917938614724)
(34,30,431.917938614724)
(211,213,75.67616245669302)
(213,331,30.430647320617165)
(331,217,15.018003267817063)
(181,367,33.30446511494812)
(367,181,33.30446511494812)
(367,109,45.67416569034804)
(109,367,45.67416569034804)
(109,212,64.36210192648582)
(212,109,64.36210192648582)
(212,182,75.53027625054769)
(182,212,75.53027625054769)
(182,183,69.71266345598545)
(183,182,69.71266345598545)
(125,142,64.66007637537157)
(142,226,72.82430154936102)
(226,140,80.72223452533362)
(204,68,120.37305023878373)
(68,47,71.46955087388768)
(47,68,71.46955087388768)
(45,204,43.32927747672349)
(204,45,43.32927747672349)
(204,66,33.59000304898231)
(66,204,33.59000304898231)
(66,71,28.81905258510768)
(71,66,28.81905258510768)
(253,40,73.66194975756797)
(40,336,36.78840614705236)
(336,9,36.54614394711154)
(202,212,37.26118812168535)
(212,215,36.94349902684415)
(215,203,41.61920684371356)
(161,184,101.78154595947066)
(161,213,79.61785884116813)
(213,209,71.11865285451327)
(209,205,69.93952373941657)
(205,215,75.82438464077079)
(215,92,64.02155188147312)
(226,104,70.99020779240102)
(222,225,71.11351697004345)
(225,229,82.24251829135365)
(229,227,72.4804602968273)
(227,97,72.09433689860964)
(2,335,7.766844839100422)
(335,2,7.766844839100422)
(335,174,6.63669499165676)
(174,335,6.63669499165676)
(174,360,4.182778780810903)
(360,174,4.182778780810903)
(360,175,50.41189052340021)
(175,360,50.41189052340021)
(175,116,69.3117082423331)
(116,175,69.3117082423331)
(116,222,67.6390218451369)
(222,116,67.6390218451369)
(222,223,215.93858960714164)
(223,222,215.93858960714164)
(223,230,57.19627449820854)
(230,223,57.19627449820854)
(230,117,7.893536610080039)
(117,230,7.893536610080039)
(221,223,73.84628107399531)
(223,221,73.84628107399531)
(140,383,55.44571354448806)
(383,140,55.44571354448806)
(383,381,7.21109721144287)
(381,383,7.21109721144287)
(381,105,8.824092527576479)
(105,381,8.824092527576479)
(161,140,544.1538946732878)
(140,161,544.1538946732878)
(194,198,66.81859450024496)
