388
(1,5,216.41623354646396)
(5,1,216.41623354646396)
(2,5,944.939579205435)
(5,2,944.939579205435)
(5,4,572.6624610636383)
(4,5,572.6624610636383)
(148,120,559.1698729422648)
(120,148,559.1698729422648)
(173,79,32.04013274821842)
(15,20,517.4794186329891)
(20,15,517.4794186329891)
(174,6,183.4819618950332)
(6,174,183.4819618950332)
(11,12,381.52179111547554)
(12,11,381.52179111547554)
(12,14,511.8994348863285)
(14,12,511.8994348863285)
(12,13,281.12951566923766)
(13,12,281.12951566923766)
(2,22,100.0515359085686)
(22,2,100.0515359085686)
(33,32,1405.9262531148142)
(32,33,1405.9262531148142)
(66,35,325.23299498347865)
(35,66,325.23299498347865)
(57,34,77.63755600580664)
(34,57,77.63755600580664)
(38,42,91.27139215142464)
(42,38,91.27139215142464)
(61,50,115.6710396452976)
(50,61,115.6710396452976)
(40,149,632.7959538079443)
(149,40,632.7959538079443)
(42,25,236.22886996055263)
(25,42,236.22886996055263)
(36,21,299.1775974068216)
(21,36,299.1775974068216)
(60,34,101.26726711285762)
(34,60,101.26726711285762)
(48,65,86.70214842202701)
(65,48,86.70214842202701)
(61,26,212.8124461496948)
(26,61,212.8124461496948)
(34,38,100.64459393593235)
(38,34,100.64459393593235)
(64,61,129.78342119178762)
(61,64,129.78342119178762)
(63,53,203.48973578601803)
(53,63,203.48973578601803)
(31,51,310.14178411160367)
(51,31,310.14178411160367)
(45,53,203.1614472164755)
(53,45,203.1614472164755)
(25,47,147.97842099703047)
(47,25,147.97842099703047)
(38,36,329.44068089256467)
(36,38,329.44068089256467)
(42,61,67.43498451555217)
(61,42,67.43498451555217)
(56,39,174.319558433178)
(39,56,174.319558433178)
(70,173,35.832938561626555)
(82,87,31.244528245603224)
(87,82,31.244528245603224)
(89,175,376.15886010633795)
(175,89,376.15886010633795)
(92,10,82.29108147889144)
(10,92,82.29108147889144)
(86,80,497.5252692342674)
(80,86,497.5252692342674)
(19,69,170.48809153186127)
(69,19,170.48809153186127)
(30,86,208.6496499587736)
(86,30,208.6496499587736)
(87,94,33.914110206704784)
(94,87,33.914110206704784)
(76,72,82.0892960446204)
(72,76,82.0892960446204)
(90,78,36.093984718638914)
(95,89,299.7303473561084)
(89,95,299.7303473561084)
(78,68,34.24463111283344)
(30,106,68.60214693169898)
(106,30,68.60214693169898)
(86,23,151.89100038600392)
(23,86,151.89100038600392)
(171,69,448.2375872159578)
(69,171,448.2375872159578)
(75,81,29.642805015046033)
(81,75,29.642805015046033)
(88,71,20.88455074626516)
(71,88,20.88455074626516)
(92,76,210.57262060094203)
(76,92,210.57262060094203)
(159,87,210.00530832433245)
(87,159,210.00530832433245)
(78,94,196.04318466482096)
(94,78,196.04318466482096)
(89,51,7.908945328679362)
(51,89,7.908945328679362)
(77,74,115.36833166495362)
(74,77,115.36833166495362)
(30,36,501.45538680467416)
(36,30,501.45538680467416)
(23,91,524.1803774518544)
(91,23,524.1803774518544)
(83,93,182.31142629297923)
(93,83,182.31142629297923)
(76,88,130.54513526676018)
(88,76,130.54513526676018)
(95,58,261.82244988939703)
(58,95,261.82244988939703)
(71,75,57.46447997767864)
(75,71,57.46447997767864)
(173,92,104.96689757775442)
(92,173,104.96689757775442)
(94,152,782.0140240644458)
(152,94,782.0140240644458)
(105,99,78.23810315944908)
(99,105,78.23810315944908)
(96,118,259.90593005966974)
(118,96,259.90593005966974)
(119,108,105.35486605435291)
(108,119,105.35486605435291)
(115,111,89.82574094451658)
(111,115,89.82574094451658)
(110,113,201.46541075504675)
(113,110,201.46541075504675)
(100,110,91.75167072217806)
(110,100,91.75167072217806)
(125,112,203.46391859220117)
(112,125,203.46391859220117)
(106,98,143.38604354428932)
(98,106,143.38604354428932)
(112,115,148.50668374627438)
(115,112,148.50668374627438)
(101,104,23.364116773638973)
(104,101,23.364116773638973)
(46,59,119.8409147308829)
(59,46,119.8409147308829)
(58,109,153.2756135224784)
(109,58,153.2756135224784)
(109,102,82.39835604143099)
(102,109,82.39835604143099)
(113,98,144.61117592311896)
(98,113,144.61117592311896)
(108,44,3.2399665117900547)
(44,108,3.2399665117900547)
(111,123,159.74772759715623)
(123,111,159.74772759715623)
(125,52,312.0100879434494)
(52,125,312.0100879434494)
(102,28,223.96231895804675)
(28,102,223.96231895804675)
(96,101,220.16490608096674)
(101,96,220.16490608096674)
(55,46,90.78743056002322)
(46,55,90.78743056002322)
(121,55,7.7633606468477385)
(55,121,7.7633606468477385)
(97,96,251.1305887089107)
(96,97,251.1305887089107)
(55,115,220.48810392630503)
(115,55,220.48810392630503)
(119,105,103.1547446425718)
(105,119,103.1547446425718)
(112,117,54.05324749035519)
(117,112,54.05324749035519)
(98,95,127.21694404122968)
(95,98,127.21694404122968)
(0,114,440.5436428074761)
(114,0,440.5436428074761)
(100,107,88.87480286996852)
(107,100,88.87480286996852)
(109,110,54.58758845836848)
(110,109,54.58758845836848)
(123,54,98.09163978307014)
(54,123,98.09163978307014)
(66,125,16.67442219418997)
(125,66,16.67442219418997)
(123,119,44.84283811215145)
(119,123,44.84283811215145)
(113,106,179.39319676342592)
(106,113,179.39319676342592)
(104,128,174.71823575592967)
(128,104,174.71823575592967)
(59,66,208.18128337633698)
(66,59,208.18128337633698)
(102,100,58.00012450363042)
(100,102,58.00012450363042)
(105,124,94.77593132891941)
(124,105,94.77593132891941)
(59,116,104.91034940280807)
(116,59,104.91034940280807)
(150,167,235.1351224920214)
(167,150,235.1351224920214)
(133,164,129.11311287810324)
(164,133,129.11311287810324)
(15,135,249.83336211014722)
(135,15,249.83336211014722)
(7,152,795.8659004009953)
(152,7,795.8659004009953)
(128,146,166.28039242956436)
(146,128,166.28039242956436)
(143,137,56.69694853811346)
(137,143,56.69694853811346)
(166,127,221.47685685651828)
(127,166,221.47685685651828)
(126,121,269.9440062935118)
(121,126,269.9440062935118)
(9,11,460.71645785432855)
(11,9,460.71645785432855)
(158,154,50.80854741673044)
(154,158,50.80854741673044)
(147,127,59.81489751614426)
(127,147,59.81489751614426)
(154,161,150.63551478923156)
(161,154,150.63551478923156)
(128,118,48.99619411786046)
(118,128,48.99619411786046)
(88,17,352.29935270846613)
(17,88,352.29935270846613)
(131,133,161.47273199774102)
(133,131,161.47273199774102)
(23,30,224.5677458149449)
(30,23,224.5677458149449)
(122,130,293.27280271631605)
(130,122,293.27280271631605)
(162,62,61.61339805103991)
(62,162,61.61339805103991)
(165,145,122.31342708787497)
(145,165,122.31342708787497)
(167,140,52.95341190322275)
(140,167,52.95341190322275)
(139,158,43.92934035993588)
(158,139,43.92934035993588)
(161,62,11.832971598685067)
(62,161,11.832971598685067)
(151,165,3.606173863439634)
(165,151,3.606173863439634)
(24,27,194.57222783998628)
(27,24,194.57222783998628)
(43,108,182.76997610214045)
(108,43,182.76997610214045)
(132,150,104.95581378641351)
(150,132,104.95581378641351)
(165,163,71.40384148392197)
(163,165,71.40384148392197)
(22,32,173.4798476751351)
(32,22,173.4798476751351)
(148,132,218.31569846956708)
(132,148,218.31569846956708)
(153,151,64.82729813816253)
(151,153,64.82729813816253)
(71,15,419.33286106222624)
(15,71,419.33286106222624)
(44,129,178.30020660463202)
(129,44,178.30020660463202)
(130,136,240.71856574851083)
(136,130,240.71856574851083)
(139,162,94.06665893911486)
(162,139,94.06665893911486)
(164,147,172.01475071241785)
(147,164,172.01475071241785)
(118,122,54.343441552458195)
(122,118,54.343441552458195)
(58,83,259.5500779130099)
(83,58,259.5500779130099)
(24,157,172.6724855701406)
(157,24,172.6724855701406)
(137,67,434.24846874658624)
(67,137,434.24846874658624)
(83,74,11.520953679052518)
(74,83,11.520953679052518)
(147,131,212.4127091143178)
(131,147,212.4127091143178)
(166,151,66.62476930575706)
(151,166,66.62476930575706)
(164,163,99.69223463755758)
(163,164,99.69223463755758)
(27,28,519.7516373293842)
(28,27,519.7516373293842)
(6,142,45.48025292118062)
(142,6,45.48025292118062)
(161,141,29.568478561923058)
(141,161,29.568478561923058)
(153,160,54.3536466054395)
(160,153,54.3536466054395)
(149,43,220.1481110661996)
(43,149,220.1481110661996)
(27,155,295.5094352062119)
(155,27,295.5094352062119)
